State,State Name,Year,Month,Indicator,Data Value,Predicted Value,Percent Complete,Percent Pending Investigation,Footnote
AK,Alaska,2015,January,Number of Deaths,"4,034",,100,0,
AK,Alaska,2015,February,Number of Deaths,"4,084",,100,0,
AK,Alaska,2015,March,Number of Deaths,"4,101",,100,0,
AK,Alaska,2015,April,Number of Deaths,"4,133",,100,0,
AK,Alaska,2015,May,Number of Deaths,"4,196",,100,0,
AK,Alaska,2015,June,Number of Deaths,"4,201",,100,0,
AK,Alaska,2015,July,Number of Deaths,"4,220",,100,0,
AK,Alaska,2015,August,Number of Deaths,"4,222",,100,0,
AK,Alaska,2015,September,Number of Deaths,"4,242",,100,0,
AK,Alaska,2015,October,Number of Deaths,"4,241",,100,0,
AK,Alaska,2015,November,Number of Deaths,"4,219",,100,0,
AK,Alaska,2015,December,Number of Deaths,"4,193",,100,0,
AK,Alaska,2016,January,Number of Deaths,"4,213",,100,0,
AK,Alaska,2016,February,Number of Deaths,"4,198",,100,0,
AK,Alaska,2016,March,Number of Deaths,"4,230",,100,0,
AK,Alaska,2016,April,Number of Deaths,"4,262",,100,0,
AK,Alaska,2016,May,Number of Deaths,"4,241",,100,0,
AK,Alaska,2016,June,Number of Deaths,"4,261",,100,0,
AK,Alaska,2016,July,Number of Deaths,"4,269",,100,0,
AK,Alaska,2016,August,Number of Deaths,"4,276",,100,0.023386342,
AK,Alaska,2016,September,Number of Deaths,"4,256",,100,0.046992481,
AK,Alaska,2016,October,Number of Deaths,"4,291",,100,0.069913773,
AK,Alaska,2016,November,Number of Deaths,"4,289",,100,0.069946374,
AK,Alaska,2016,December,Number of Deaths,"4,355",,100,0.068886338,
AK,Alaska,2017,January,Number of Deaths,"4,374",,100,0.068587106,* Underreported due to incomplete data
AK,Alaska,2017,February,Number of Deaths,"4,347",,100,0.069013112,* Underreported due to incomplete data
AK,Alaska,2017,March,Number of Deaths,"4,360",,100,0.068807339,* Underreported due to incomplete data
AK,Alaska,2017,April,Number of Deaths,"4,326",,100,0.069348128,* Underreported due to incomplete data
